,"Cultivo de cereales, oleaginosas y forrajeras","Cultivo de hortalizas, legumbres, flores y plantas ornamentales",Cultivo de frutas y nueces,Cultivos industriales,Producción de semillas,"Cría de ganado y producción de leche, lana y pelos",Producción de granja,Servicios agropecuarios,Caza,Silvicultura y extracción de madera,Pesca,"Extracción de petróleo, gas, carbón y uranio",Extracción de minerales metalíferos,Extracción de otros minerales,"Matanza de animales, conservación y procesamiento de carnes",Elaboración y conservación de pescado y productos de pescado,"Elaboración y conservación de frutas, legumbres y hortalizas",Aceites y subproductos oleaginosos,Productos lácteos,Molienda de trigo y de otros cereales,Alimentos balanceados,Productos de panadería,Azúcar,"Cacao, chocolate y productos de confitería",Pastas alimenticias,Otros productos alimenticios,Bebidas alcohólicas,Producción vitivinícola,Cerveza y malta,"Gaseosas, agua mineral y otras bebidas no alcohólicas",Productos de tabaco,"Fibras, hilados y tejeduría de productos textiles",Acabado de productos textiles,Fabricación de productos textiles,Tejidos de punto,"Prendas de vestir, terminación y teñido de pieles",Curtido y terminación de cueros,Marroquinería y talabartería,Calzado y sus partes,Aserraderos,Madera y sus productos,Celulosa y papel,Papel y cartón ondulado y envases de papel y cartón,Productos de papel y cartón,"Edición de libros, folletos, grabaciones y otras ediciones",Edición de periódicos y revistas,Impresiones y reproducción de grabaciones,Refinación de petróleo,Química básica,Fertilizantes y plaguicidas,Materias primas plásticas y caucho sintético,Pinturas y barnices,Productos medicinales,"Jabones, detergentes y cosméticos",Otros productos químicos,Fibras sintéticas manufacturadas,"Cubiertas, cámaras y recauchutado de cubiertas",Productos de caucho,Productos de plástico,Vidrio y productos de vidrio,Productos de cerámica refractaria y no refractaria para uso no estructural,Arcilla y cerámica no refractaria para uso estructural,"Cemento, cal y yeso","Artículos de hormigón, cemento y yeso",Industrias básicas de hierro y acero,Metalurgia de no ferrosos,Fundición de metales,"Estructuras metálicas, tanques, depósitos y generadores de vapor","Forja, laminado y tratamiento de metales",Artículos de cuchillería y ferretería y herramientas de mano,Otros productos metálicos,"Motores, turbinas, bombas y compresores","Engranajes, hornos, elevadores y otras maquinarias de uso general",Tractores y maquinaria agrícola,Otra maquinaria de uso especial,Aparatos de uso doméstico,Máquinas de oficina e informática,"Motores, generadores y transformadores eléctricos",Aparatos de control y distribución de energía eléctrica,Hilos y cables aislados,Acumuladores y pilas,Lámparas eléctricas y equipos de iluminación,"Tubos y transmisores de radio, TV y telefonía",Receptores de radio y TV,"Instrumentos médicos, ópticos y de precisión y relojes",Vehículos automotores,Carrocerías y remolques,Autopartes,"Buques, locomotoras y aeronaves","Motocicletas, bicicletas y otros tipos de transportes",Muebles y colchones,Otras industrias manufactureras,Electricidad,Gas,Agua,Construcción,Comercio mayorista,Comercio minorista,Hoteles,Restaurantes,Transporte terrestre de pasajeros,Transporte terrestre de carga,Transporte por tuberías,Transporte marítimo,Transporte aéreo,Actividades de transporte complementarias,Correos,Telecomunicaciones,Instituciones Financieras,Seguros,Servicios a las empresas y profesionales,Actividades inmobiliarias,Administración pública y defensa y planes de la seguridad social de afiliación obligatoria,Enseñanza pública,Enseñanza privada,Salud humana pública,Salud humana privada,Servicios veterinarios,Servicios sociales,Servicios de saneamiento,Actividad de asociaciones,"Servicios de cine, radio y televisión","Servicios personales, de reparación, actividades deportivas y de esparcimiento"
"Cultivo de cereales, oleaginosas y forrajeras",0.01031882488817982,0.0,0.0015419307076803548,0.0016008236594767507,0.0,0.18165988428693122,0.012263177175209345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001413236517019716,0.0,0.0,0.5763491069107596,0.00037885433531503965,0.16225277500351254,0.034562188394421635,0.0002780285885678355,0.0,0.005895704470625514,0.0014346210626076307,0.0017423433723269116,0.0,0.0,0.005347664979912703,0.00011249225259167768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022769986533305805,0.0,0.0,1.143053844488274e-05,0.0003700558744082394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.458304881477376e-05,3.7947374973896545e-05,8.032087374452895e-05,7.450323631197099e-06,4.212885609899785e-05,1.2318886302165673e-05,0.0,0.0,0.0,1.7350544087557288e-09,0.003256318883373394
"Cultivo de hortalizas, legumbres, flores y plantas ornamentales",0.0,0.1672262695202158,0.009564727033984812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.663830471771386e-07,0.0,0.0,0.0,0.0039864808469846184,0.0,0.36232936591439857,0.028623703448402166,0.0003157951363674433,0.0009535739533821803,0.0,0.006192508535751498,0.0003369617515854826,0.0010335945215920732,0.02161522189599525,0.05147638307103442,2.24581375025299e-05,0.0,0.0,5.994815937176912e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00038564496658697315,0.0,0.0007307684214980557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005370042032054615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066133116089718245,0.2164344165791137,0.0,1.164163836992165e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.192930092212718e-05,0.0,0.004172208926618161,0.005679361619190098,0.012030422453172316,0.0021924308291607145,0.008913494859839964,0.0,0.0012382469902553028,0.0,0.007998576885944967,1.2377088559700984e-06,0.0792918446986786
Cultivo de frutas y nueces,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007008260126830997,0.0,0.5932328243159504,0.0,0.00496730325060154,0.0,0.0,0.04608974071633401,0.005300069558782004,0.016257706123555152,0.0,0.0009794806868082659,0.00035320384668332736,0.05302999021083615,0.0,0.0007438724248118784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011494532909380763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006496561083594857,0.21837605576263389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00512965042019751,0.0038266530674843846,0.008099497101611099,0.01106669401812876,0.005904044211032871,0.0,0.0016377755194256843,0.0,0.0,1.4720916088496555e-07,5.937436155693611e-06
Cultivos industriales,0.0,0.0,0.0,0.02021229659294464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030637663844038647,0.012205060002755392,0.0,0.0,0.0,0.0,0.1254793316153918,0.0,0.0,0.06804099503418433,0.0,0.25951856430362,0.0017128333356599313,0.0,0.1955632799315971,0.28662997533980805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Producción de semillas,0.7831457107258161,0.016373824440738594,0.029819678676577154,0.017254170054860855,0.02173963071370057,0.12787469186785022,0.0022910908274465834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015012026930100472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Cría de ganado y producción de leche, lana y pelos",0.0,0.0,0.0,0.0,0.0,0.15991249895357446,0.0003870166940832615,0.0,0.0,0.0,0.0,2.643264834125403e-06,0.0,0.0,0.5908591865208176,4.051213870840138e-05,3.865357041656719e-06,0.0,0.23085330955059552,0.0,0.0,0.000152537742112687,0.0,0.0,1.1879433765241984e-05,2.6024315510913603e-05,0.0,0.0,0.0,0.0,0.0,0.016372982530113423,0.0,0.0,0.0,0.0,0.0,0.00011850516244516808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000396350223511292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.062403062276512e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00038981835136759013,7.620129996520176e-05,0.00016128710855923406,7.942582149732066e-05,0.0001128945821677859,2.420934147142892e-06,0.0,0.0,0.0,1.5984559194821018e-08,0.0
Producción de granja,0.0,0.0,0.0,0.0,0.0,0.0005411969954840954,0.21965747442614939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7342389690137966,0.0,0.00012410388634579917,0.0,0.003672004821315799,0.0,0.0,0.016418048534547213,0.0,0.0007937841305752669,0.00554090595721786,0.00968086870020384,0.0,0.0,0.0,0.0,0.0,0.0015676141738261628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6447304651028573e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022914272886187756,0.007440833064706373,0.0,0.0,0.0,0.0,0.0,2.8811594734034036e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.219142051460126e-05,4.718516029013803e-05,1.888394237710688e-05,0.0,5.762318946806808e-08,0.0,0.0,0.0,0.0,0.0
Servicios agropecuarios,0.831772159867754,0.010341121637820201,6.8292308620852125e-06,0.06069568642434865,0.023883678681099394,0.061827745870551315,0.0,0.0004984331538176321,0.0,0.0,0.0021620649170024627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008812280216744408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Caza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34707122638025756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30016758701841356,0.3468096726988457,0.0059515139024830955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Silvicultura y extracción de madera,0.0,0.005891840512474758,0.007357815283150792,1.077943483536626e-06,0.0,6.439293967442477e-06,5.38971741768313e-07,0.0,0.0,0.25599259986125167,0.0007398096329114529,1.1346773510911854e-07,0.0,0.0,0.0,3.9430037950418694e-05,0.0002009797258120262,0.0,0.0,0.0,2.8366933777279633e-06,0.0,0.0,0.0002560115773399487,0.0,0.0,0.0,0.0,0.0,0.0007070458243986949,0.0,0.0,0.0,0.00037013175192594463,0.0,8.64907810869256e-05,0.0,0.0,0.0,0.3239890478672719,0.23520800564797,0.12725692998518795,0.0004903224503402785,0.0,0.0,0.0,0.0,0.0,0.0004241140269041078,0.0006545386299769504,0.00023130397801993815,0.0,0.0038953757132298168,0.000357281530924837,0.019056650809172463,0.0,0.0,0.0,0.0,0.0,0.0,0.0001830234567310082,0.0023954457228223787,1.772933361079977e-05,0.0,1.080780176914354e-05,0.0,0.0,0.0,0.0,0.0,1.3814696749535182e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006497729851023673,0.0021419871695223854,0.0,0.0,0.0,0.0011592431157423095,0.0,0.0,0.00020276684263999484,0.007850634023663471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.974076253495091e-05,5.985423027006002e-06,1.2651652464666716e-05,1.3332458875321426e-06,0.0,0.0,0.0,0.0,0.0,1.4183466888639818e-07,0.0020781899354572835
