,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109
"Cultivo de cereales, oleaginosas y forrajeras",0.27665766430640115,0.27665766430640115,0.27665766430640115,0.27665766430640115,0.27665766430640115,0.27665766430640115,0.27665766430640115,0.27665766430640115,0.27665766430640115,0.27665766430640115,0.22513613391981213,0.22513613391981213,0.22513613391981213,0.22513613391981213,0.22513613391981213,0.22513613391981213,0.22513613391981213,0.22513613391981213,0.22513613391981213,0.22513613391981213,0.2551912382286803,0.2551912382286803,0.2551912382286803,0.2551912382286803,0.2551912382286803,0.2551912382286803,0.2551912382286803,0.2551912382286803,0.2551912382286803,0.2551912382286803,0.328268160852363,0.328268160852363,0.328268160852363,0.328268160852363,0.328268160852363,0.328268160852363,0.328268160852363,0.328268160852363,0.328268160852363,0.328268160852363,0.1697691983425953,0.1697691983425953,0.1697691983425953,0.1697691983425953,0.1697691983425953,0.1697691983425953,0.1697691983425953,0.1697691983425953,0.1697691983425953,0.1697691983425953,0.2220278349089888,0.2220278349089888,0.2220278349089888,0.2220278349089888,0.2220278349089888,0.2220278349089888,0.2220278349089888,0.2220278349089888,0.2220278349089888,0.2220278349089888,0.26887581609054134,0.26887581609054134,0.26887581609054134,0.26887581609054134,0.26887581609054134,0.26887581609054134,0.26887581609054134,0.26887581609054134,0.26887581609054134,0.26887581609054134,0.3471883807415477,0.3471883807415477,0.3471883807415477,0.3471883807415477,0.3471883807415477,0.3471883807415477,0.3471883807415477,0.3471883807415477,0.3471883807415477,0.3471883807415477,0.40365692314949797,0.40365692314949797,0.40365692314949797,0.40365692314949797,0.40365692314949797,0.40365692314949797,0.40365692314949797,0.40365692314949797,0.40365692314949797,0.40365692314949797,0.2835316340452865,0.2835316340452865,0.2835316340452865,0.2835316340452865,0.2835316340452865,0.2835316340452865,0.2835316340452865,0.2835316340452865,0.2835316340452865,0.2835316340452865,0.3755216454773169,0.3755216454773169,0.3755216454773169,0.3755216454773169,0.3755216454773169,0.3755216454773169,0.3755216454773169,0.3755216454773169,0.3755216454773169,0.3755216454773169
"Cultivo de hortalizas, legumbres, flores y plantas ornamentales",0.2802295410947675,0.2802295410947675,0.2802295410947675,0.2802295410947675,0.2802295410947675,0.2802295410947675,0.2802295410947675,0.2802295410947675,0.2802295410947675,0.2802295410947675,0.20671087638020058,0.20671087638020058,0.20671087638020058,0.20671087638020058,0.20671087638020058,0.20671087638020058,0.20671087638020058,0.20671087638020058,0.20671087638020058,0.20671087638020058,0.25927780148735646,0.25927780148735646,0.25927780148735646,0.25927780148735646,0.25927780148735646,0.25927780148735646,0.25927780148735646,0.25927780148735646,0.25927780148735646,0.25927780148735646,0.474286941140889,0.474286941140889,0.474286941140889,0.474286941140889,0.474286941140889,0.474286941140889,0.474286941140889,0.474286941140889,0.474286941140889,0.474286941140889,0.3937514700447453,0.3937514700447453,0.3937514700447453,0.3937514700447453,0.3937514700447453,0.3937514700447453,0.3937514700447453,0.3937514700447453,0.3937514700447453,0.3937514700447453,0.4019615889310657,0.4019615889310657,0.4019615889310657,0.4019615889310657,0.4019615889310657,0.4019615889310657,0.4019615889310657,0.4019615889310657,0.4019615889310657,0.4019615889310657,0.7015828128253299,0.7015828128253299,0.7015828128253299,0.7015828128253299,0.7015828128253299,0.7015828128253299,0.7015828128253299,0.7015828128253299,0.7015828128253299,0.7015828128253299,0.7245916342569103,0.7245916342569103,0.7245916342569103,0.7245916342569103,0.7245916342569103,0.7245916342569103,0.7245916342569103,0.7245916342569103,0.7245916342569103,0.7245916342569103,1.0503408003145864,1.0503408003145864,1.0503408003145864,1.0503408003145864,1.0503408003145864,1.0503408003145864,1.0503408003145864,1.0503408003145864,1.0503408003145864,1.0503408003145864,1.2253737106455276,1.2253737106455276,1.2253737106455276,1.2253737106455276,1.2253737106455276,1.2253737106455276,1.2253737106455276,1.2253737106455276,1.2253737106455276,1.2253737106455276,1.2077427447580558,1.2077427447580558,1.2077427447580558,1.2077427447580558,1.2077427447580558,1.2077427447580558,1.2077427447580558,1.2077427447580558,1.2077427447580558,1.2077427447580558
Cultivo de frutas y nueces,0.2764227642276573,0.2764227642276573,0.2764227642276573,0.2764227642276573,0.2764227642276573,0.2764227642276573,0.2764227642276573,0.2764227642276573,0.2764227642276573,0.2764227642276573,0.1979221811289289,0.1979221811289289,0.1979221811289289,0.1979221811289289,0.1979221811289289,0.1979221811289289,0.1979221811289289,0.1979221811289289,0.1979221811289289,0.1979221811289289,0.34816281341265576,0.34816281341265576,0.34816281341265576,0.34816281341265576,0.34816281341265576,0.34816281341265576,0.34816281341265576,0.34816281341265576,0.34816281341265576,0.34816281341265576,0.24748505763858564,0.24748505763858564,0.24748505763858564,0.24748505763858564,0.24748505763858564,0.24748505763858564,0.24748505763858564,0.24748505763858564,0.24748505763858564,0.24748505763858564,0.3655948136531917,0.3655948136531917,0.3655948136531917,0.3655948136531917,0.3655948136531917,0.3655948136531917,0.3655948136531917,0.3655948136531917,0.3655948136531917,0.3655948136531917,0.4970580667281954,0.4970580667281954,0.4970580667281954,0.4970580667281954,0.4970580667281954,0.4970580667281954,0.4970580667281954,0.4970580667281954,0.4970580667281954,0.4970580667281954,0.5082582292460058,0.5082582292460058,0.5082582292460058,0.5082582292460058,0.5082582292460058,0.5082582292460058,0.5082582292460058,0.5082582292460058,0.5082582292460058,0.5082582292460058,0.5256920165226164,0.5256920165226164,0.5256920165226164,0.5256920165226164,0.5256920165226164,0.5256920165226164,0.5256920165226164,0.5256920165226164,0.5256920165226164,0.5256920165226164,0.4901314923421607,0.4901314923421607,0.4901314923421607,0.4901314923421607,0.4901314923421607,0.4901314923421607,0.4901314923421607,0.4901314923421607,0.4901314923421607,0.4901314923421607,0.6562535786359014,0.6562535786359014,0.6562535786359014,0.6562535786359014,0.6562535786359014,0.6562535786359014,0.6562535786359014,0.6562535786359014,0.6562535786359014,0.6562535786359014,0.9417199843249735,0.9417199843249735,0.9417199843249735,0.9417199843249735,0.9417199843249735,0.9417199843249735,0.9417199843249735,0.9417199843249735,0.9417199843249735,0.9417199843249735
Cultivos industriales,0.27688288154845697,0.27688288154845697,0.27688288154845697,0.27688288154845697,0.27688288154845697,0.27688288154845697,0.27688288154845697,0.27688288154845697,0.27688288154845697,0.27688288154845697,0.2577198689827753,0.2577198689827753,0.2577198689827753,0.2577198689827753,0.2577198689827753,0.2577198689827753,0.2577198689827753,0.2577198689827753,0.2577198689827753,0.2577198689827753,0.18016047047972883,0.18016047047972883,0.18016047047972883,0.18016047047972883,0.18016047047972883,0.18016047047972883,0.18016047047972883,0.18016047047972883,0.18016047047972883,0.18016047047972883,0.11436819152297328,0.11436819152297328,0.11436819152297328,0.11436819152297328,0.11436819152297328,0.11436819152297328,0.11436819152297328,0.11436819152297328,0.11436819152297328,0.11436819152297328,0.16319653021465985,0.16319653021465985,0.16319653021465985,0.16319653021465985,0.16319653021465985,0.16319653021465985,0.16319653021465985,0.16319653021465985,0.16319653021465985,0.16319653021465985,0.08255196790527553,0.08255196790527553,0.08255196790527553,0.08255196790527553,0.08255196790527553,0.08255196790527553,0.08255196790527553,0.08255196790527553,0.08255196790527553,0.08255196790527553,0.11413561719857412,0.11413561719857412,0.11413561719857412,0.11413561719857412,0.11413561719857412,0.11413561719857412,0.11413561719857412,0.11413561719857412,0.11413561719857412,0.11413561719857412,0.17127628857749322,0.17127628857749322,0.17127628857749322,0.17127628857749322,0.17127628857749322,0.17127628857749322,0.17127628857749322,0.17127628857749322,0.17127628857749322,0.17127628857749322,0.09529336317277703,0.09529336317277703,0.09529336317277703,0.09529336317277703,0.09529336317277703,0.09529336317277703,0.09529336317277703,0.09529336317277703,0.09529336317277703,0.09529336317277703,0.12615195079603847,0.12615195079603847,0.12615195079603847,0.12615195079603847,0.12615195079603847,0.12615195079603847,0.12615195079603847,0.12615195079603847,0.12615195079603847,0.12615195079603847,0.16300705917242642,0.16300705917242642,0.16300705917242642,0.16300705917242642,0.16300705917242642,0.16300705917242642,0.16300705917242642,0.16300705917242642,0.16300705917242642,0.16300705917242642
Producción de semillas,0.27691765013004854,0.27691765013004854,0.27691765013004854,0.27691765013004854,0.27691765013004854,0.27691765013004854,0.27691765013004854,0.27691765013004854,0.27691765013004854,0.27691765013004854,0.2713119242284012,0.2713119242284012,0.2713119242284012,0.2713119242284012,0.2713119242284012,0.2713119242284012,0.2713119242284012,0.2713119242284012,0.2713119242284012,0.2713119242284012,0.1824690852998856,0.1824690852998856,0.1824690852998856,0.1824690852998856,0.1824690852998856,0.1824690852998856,0.1824690852998856,0.1824690852998856,0.1824690852998856,0.1824690852998856,0.2435156055958343,0.2435156055958343,0.2435156055958343,0.2435156055958343,0.2435156055958343,0.2435156055958343,0.2435156055958343,0.2435156055958343,0.2435156055958343,0.2435156055958343,0.28199415465548494,0.28199415465548494,0.28199415465548494,0.28199415465548494,0.28199415465548494,0.28199415465548494,0.28199415465548494,0.28199415465548494,0.28199415465548494,0.28199415465548494,0.15037955405974301,0.15037955405974301,0.15037955405974301,0.15037955405974301,0.15037955405974301,0.15037955405974301,0.15037955405974301,0.15037955405974301,0.15037955405974301,0.15037955405974301,0.31302031062239166,0.31302031062239166,0.31302031062239166,0.31302031062239166,0.31302031062239166,0.31302031062239166,0.31302031062239166,0.31302031062239166,0.31302031062239166,0.31302031062239166,0.37885296263049373,0.37885296263049373,0.37885296263049373,0.37885296263049373,0.37885296263049373,0.37885296263049373,0.37885296263049373,0.37885296263049373,0.37885296263049373,0.37885296263049373,0.4290889012851906,0.4290889012851906,0.4290889012851906,0.4290889012851906,0.4290889012851906,0.4290889012851906,0.4290889012851906,0.4290889012851906,0.4290889012851906,0.4290889012851906,0.5526678671848639,0.5526678671848639,0.5526678671848639,0.5526678671848639,0.5526678671848639,0.5526678671848639,0.5526678671848639,0.5526678671848639,0.5526678671848639,0.5526678671848639,0.3887370022999992,0.3887370022999992,0.3887370022999992,0.3887370022999992,0.3887370022999992,0.3887370022999992,0.3887370022999992,0.3887370022999992,0.3887370022999992,0.3887370022999992
"Cría de ganado y producción de leche, lana y pelos",0.28006304875665133,0.28006304875665133,0.28006304875665133,0.28006304875665133,0.28006304875665133,0.28006304875665133,0.28006304875665133,0.28006304875665133,0.28006304875665133,0.28006304875665133,0.23032219428924527,0.23032219428924527,0.23032219428924527,0.23032219428924527,0.23032219428924527,0.23032219428924527,0.23032219428924527,0.23032219428924527,0.23032219428924527,0.23032219428924527,0.38230258988265486,0.38230258988265486,0.38230258988265486,0.38230258988265486,0.38230258988265486,0.38230258988265486,0.38230258988265486,0.38230258988265486,0.38230258988265486,0.38230258988265486,0.30372111407297453,0.30372111407297453,0.30372111407297453,0.30372111407297453,0.30372111407297453,0.30372111407297453,0.30372111407297453,0.30372111407297453,0.30372111407297453,0.30372111407297453,0.5254913418137885,0.5254913418137885,0.5254913418137885,0.5254913418137885,0.5254913418137885,0.5254913418137885,0.5254913418137885,0.5254913418137885,0.5254913418137885,0.5254913418137885,0.3628558721961994,0.3628558721961994,0.3628558721961994,0.3628558721961994,0.3628558721961994,0.3628558721961994,0.3628558721961994,0.3628558721961994,0.3628558721961994,0.3628558721961994,0.5041513477125781,0.5041513477125781,0.5041513477125781,0.5041513477125781,0.5041513477125781,0.5041513477125781,0.5041513477125781,0.5041513477125781,0.5041513477125781,0.5041513477125781,0.3244947785562724,0.3244947785562724,0.3244947785562724,0.3244947785562724,0.3244947785562724,0.3244947785562724,0.3244947785562724,0.3244947785562724,0.3244947785562724,0.3244947785562724,0.5117693151295732,0.5117693151295732,0.5117693151295732,0.5117693151295732,0.5117693151295732,0.5117693151295732,0.5117693151295732,0.5117693151295732,0.5117693151295732,0.5117693151295732,1.0461766408540685,1.0461766408540685,1.0461766408540685,1.0461766408540685,1.0461766408540685,1.0461766408540685,1.0461766408540685,1.0461766408540685,1.0461766408540685,1.0461766408540685,1.635939210352344,1.635939210352344,1.635939210352344,1.635939210352344,1.635939210352344,1.635939210352344,1.635939210352344,1.635939210352344,1.635939210352344,1.635939210352344
Producción de granja,0.28142309697880563,0.28142309697880563,0.28142309697880563,0.28142309697880563,0.28142309697880563,0.28142309697880563,0.28142309697880563,0.28142309697880563,0.28142309697880563,0.28142309697880563,0.2865028272493131,0.2865028272493131,0.2865028272493131,0.2865028272493131,0.2865028272493131,0.2865028272493131,0.2865028272493131,0.2865028272493131,0.2865028272493131,0.2865028272493131,0.3241266873774684,0.3241266873774684,0.3241266873774684,0.3241266873774684,0.3241266873774684,0.3241266873774684,0.3241266873774684,0.3241266873774684,0.3241266873774684,0.3241266873774684,0.30083114621350937,0.30083114621350937,0.30083114621350937,0.30083114621350937,0.30083114621350937,0.30083114621350937,0.30083114621350937,0.30083114621350937,0.30083114621350937,0.30083114621350937,0.4636036949880573,0.4636036949880573,0.4636036949880573,0.4636036949880573,0.4636036949880573,0.4636036949880573,0.4636036949880573,0.4636036949880573,0.4636036949880573,0.4636036949880573,0.3677492841051899,0.3677492841051899,0.3677492841051899,0.3677492841051899,0.3677492841051899,0.3677492841051899,0.3677492841051899,0.3677492841051899,0.3677492841051899,0.3677492841051899,0.4313892766020677,0.4313892766020677,0.4313892766020677,0.4313892766020677,0.4313892766020677,0.4313892766020677,0.4313892766020677,0.4313892766020677,0.4313892766020677,0.4313892766020677,0.35419854120681826,0.35419854120681826,0.35419854120681826,0.35419854120681826,0.35419854120681826,0.35419854120681826,0.35419854120681826,0.35419854120681826,0.35419854120681826,0.35419854120681826,0.5378090758952458,0.5378090758952458,0.5378090758952458,0.5378090758952458,0.5378090758952458,0.5378090758952458,0.5378090758952458,0.5378090758952458,0.5378090758952458,0.5378090758952458,0.5163711495683732,0.5163711495683732,0.5163711495683732,0.5163711495683732,0.5163711495683732,0.5163711495683732,0.5163711495683732,0.5163711495683732,0.5163711495683732,0.5163711495683732,0.700883795941798,0.700883795941798,0.700883795941798,0.700883795941798,0.700883795941798,0.700883795941798,0.700883795941798,0.700883795941798,0.700883795941798,0.700883795941798
Servicios agropecuarios,0.27643411067341805,0.27643411067341805,0.27643411067341805,0.27643411067341805,0.27643411067341805,0.27643411067341805,0.27643411067341805,0.27643411067341805,0.27643411067341805,0.27643411067341805,0.26360656853443576,0.26360656853443576,0.26360656853443576,0.26360656853443576,0.26360656853443576,0.26360656853443576,0.26360656853443576,0.26360656853443576,0.26360656853443576,0.26360656853443576,0.18349449243848515,0.18349449243848515,0.18349449243848515,0.18349449243848515,0.18349449243848515,0.18349449243848515,0.18349449243848515,0.18349449243848515,0.18349449243848515,0.18349449243848515,0.20342025744590764,0.20342025744590764,0.20342025744590764,0.20342025744590764,0.20342025744590764,0.20342025744590764,0.20342025744590764,0.20342025744590764,0.20342025744590764,0.20342025744590764,0.2805973212110402,0.2805973212110402,0.2805973212110402,0.2805973212110402,0.2805973212110402,0.2805973212110402,0.2805973212110402,0.2805973212110402,0.2805973212110402,0.2805973212110402,0.15238902583307734,0.15238902583307734,0.15238902583307734,0.15238902583307734,0.15238902583307734,0.15238902583307734,0.15238902583307734,0.15238902583307734,0.15238902583307734,0.15238902583307734,0.28204555449433677,0.28204555449433677,0.28204555449433677,0.28204555449433677,0.28204555449433677,0.28204555449433677,0.28204555449433677,0.28204555449433677,0.28204555449433677,0.28204555449433677,0.40324787583141397,0.40324787583141397,0.40324787583141397,0.40324787583141397,0.40324787583141397,0.40324787583141397,0.40324787583141397,0.40324787583141397,0.40324787583141397,0.40324787583141397,0.37116604837148515,0.37116604837148515,0.37116604837148515,0.37116604837148515,0.37116604837148515,0.37116604837148515,0.37116604837148515,0.37116604837148515,0.37116604837148515,0.37116604837148515,0.545240303995409,0.545240303995409,0.545240303995409,0.545240303995409,0.545240303995409,0.545240303995409,0.545240303995409,0.545240303995409,0.545240303995409,0.545240303995409,0.41543990811911957,0.41543990811911957,0.41543990811911957,0.41543990811911957,0.41543990811911957,0.41543990811911957,0.41543990811911957,0.41543990811911957,0.41543990811911957,0.41543990811911957
Caza,0.2764227642276573,0.2764227642276573,0.2764227642276573,0.2764227642276573,0.2764227642276573,0.2764227642276573,0.2764227642276573,0.2764227642276573,0.2764227642276573,0.2764227642276573,0.32837596828225735,0.32837596828225735,0.32837596828225735,0.32837596828225735,0.32837596828225735,0.32837596828225735,0.32837596828225735,0.32837596828225735,0.32837596828225735,0.32837596828225735,0.3755415509792748,0.3755415509792748,0.3755415509792748,0.3755415509792748,0.3755415509792748,0.3755415509792748,0.3755415509792748,0.3755415509792748,0.3755415509792748,0.3755415509792748,0.6310187734234418,0.6310187734234418,0.6310187734234418,0.6310187734234418,0.6310187734234418,0.6310187734234418,0.6310187734234418,0.6310187734234418,0.6310187734234418,0.6310187734234418,0.2745673751849642,0.2745673751849642,0.2745673751849642,0.2745673751849642,0.2745673751849642,0.2745673751849642,0.2745673751849642,0.2745673751849642,0.2745673751849642,0.2745673751849642,0.16725817984459823,0.16725817984459823,0.16725817984459823,0.16725817984459823,0.16725817984459823,0.16725817984459823,0.16725817984459823,0.16725817984459823,0.16725817984459823,0.16725817984459823,0.10055293845765423,0.10055293845765423,0.10055293845765423,0.10055293845765423,0.10055293845765423,0.10055293845765423,0.10055293845765423,0.10055293845765423,0.10055293845765423,0.10055293845765423,0.18372006488467374,0.18372006488467374,0.18372006488467374,0.18372006488467374,0.18372006488467374,0.18372006488467374,0.18372006488467374,0.18372006488467374,0.18372006488467374,0.18372006488467374,0.3477113548532307,0.3477113548532307,0.3477113548532307,0.3477113548532307,0.3477113548532307,0.3477113548532307,0.3477113548532307,0.3477113548532307,0.3477113548532307,0.3477113548532307,0.42235058573369955,0.42235058573369955,0.42235058573369955,0.42235058573369955,0.42235058573369955,0.42235058573369955,0.42235058573369955,0.42235058573369955,0.42235058573369955,0.42235058573369955,0.9624812985725484,0.9624812985725484,0.9624812985725484,0.9624812985725484,0.9624812985725484,0.9624812985725484,0.9624812985725484,0.9624812985725484,0.9624812985725484,0.9624812985725484
Silvicultura y extracción de madera,0.28225023804562266,0.28225023804562266,0.28225023804562266,0.28225023804562266,0.28225023804562266,0.28225023804562266,0.28225023804562266,0.28225023804562266,0.28225023804562266,0.28225023804562266,0.17974950170742687,0.17974950170742687,0.17974950170742687,0.17974950170742687,0.17974950170742687,0.17974950170742687,0.17974950170742687,0.17974950170742687,0.17974950170742687,0.17974950170742687,0.2547682080884739,0.2547682080884739,0.2547682080884739,0.2547682080884739,0.2547682080884739,0.2547682080884739,0.2547682080884739,0.2547682080884739,0.2547682080884739,0.2547682080884739,0.3361252624555,0.3361252624555,0.3361252624555,0.3361252624555,0.3361252624555,0.3361252624555,0.3361252624555,0.3361252624555,0.3361252624555,0.3361252624555,0.6148062775320984,0.6148062775320984,0.6148062775320984,0.6148062775320984,0.6148062775320984,0.6148062775320984,0.6148062775320984,0.6148062775320984,0.6148062775320984,0.6148062775320984,0.49151620953757913,0.49151620953757913,0.49151620953757913,0.49151620953757913,0.49151620953757913,0.49151620953757913,0.49151620953757913,0.49151620953757913,0.49151620953757913,0.49151620953757913,0.49912519960835233,0.49912519960835233,0.49912519960835233,0.49912519960835233,0.49912519960835233,0.49912519960835233,0.49912519960835233,0.49912519960835233,0.49912519960835233,0.49912519960835233,0.8683255555506308,0.8683255555506308,0.8683255555506308,0.8683255555506308,0.8683255555506308,0.8683255555506308,0.8683255555506308,0.8683255555506308,0.8683255555506308,0.8683255555506308,0.8931715538049945,0.8931715538049945,0.8931715538049945,0.8931715538049945,0.8931715538049945,0.8931715538049945,0.8931715538049945,0.8931715538049945,0.8931715538049945,0.8931715538049945,1.295846240446319,1.295846240446319,1.295846240446319,1.295846240446319,1.295846240446319,1.295846240446319,1.295846240446319,1.295846240446319,1.295846240446319,1.295846240446319,1.215939635301,1.215939635301,1.215939635301,1.215939635301,1.215939635301,1.215939635301,1.215939635301,1.215939635301,1.215939635301,1.215939635301
