,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
"Cultivo de cereales, oleaginosas y forrajeras",0.2603639445506678,0.2603639445506678,0.2603639445506678,0.2603639445506678,0.2603639445506678,0.2603639445506678,0.2603639445506678,0.2603639445506678,0.2603639445506678,0.2603639445506678,0.24068673132313645,0.24068673132313645,0.24068673132313645,0.24068673132313645,0.24068673132313645,0.24068673132313645,0.24068673132313645,0.24068673132313645,0.24068673132313645,0.24068673132313645,0.36311725842861353,0.36311725842861353,0.36311725842861353,0.36311725842861353,0.36311725842861353,0.36311725842861353,0.36311725842861353,0.36311725842861353,0.36311725842861353,0.36311725842861353,0.6220956548571355,0.6220956548571355,0.6220956548571355,0.6220956548571355,0.6220956548571355,0.6220956548571355,0.6220956548571355,0.6220956548571355,0.6220956548571355,0.6220956548571355,0.42348852812144067,0.42348852812144067,0.42348852812144067,0.42348852812144067,0.42348852812144067,0.42348852812144067,0.42348852812144067,0.42348852812144067,0.42348852812144067,0.42348852812144067,0.7324441460450304,0.7324441460450304,0.7324441460450304,0.7324441460450304,0.7324441460450304,0.7324441460450304,0.7324441460450304,0.7324441460450304,0.7324441460450304,0.7324441460450304,1.175984772231553,1.175984772231553,1.175984772231553,1.175984772231553,1.175984772231553,1.175984772231553,1.175984772231553,1.175984772231553,1.175984772231553,1.175984772231553,2.0279908496230625,2.0279908496230625,2.0279908496230625,2.0279908496230625,2.0279908496230625,2.0279908496230625,2.0279908496230625,2.0279908496230625,2.0279908496230625,2.0279908496230625,3.1787942634681654,3.1787942634681654,3.1787942634681654,3.1787942634681654,3.1787942634681654,3.1787942634681654,3.1787942634681654,3.1787942634681654,3.1787942634681654,3.1787942634681654,2.9675623100019033,2.9675623100019033,2.9675623100019033,2.9675623100019033,2.9675623100019033,2.9675623100019033,2.9675623100019033,2.9675623100019033,2.9675623100019033,2.9675623100019033
"Cultivo de hortalizas, legumbres, flores y plantas ornamentales",0.26342555322640404,0.26342555322640404,0.26342555322640404,0.26342555322640404,0.26342555322640404,0.26342555322640404,0.26342555322640404,0.26342555322640404,0.26342555322640404,0.26342555322640404,0.23404089090419689,0.23404089090419689,0.23404089090419689,0.23404089090419689,0.23404089090419689,0.23404089090419689,0.23404089090419689,0.23404089090419689,0.23404089090419689,0.23404089090419689,0.3730404600337689,0.3730404600337689,0.3730404600337689,0.3730404600337689,0.3730404600337689,0.3730404600337689,0.3730404600337689,0.3730404600337689,0.3730404600337689,0.3730404600337689,0.9084176205470529,0.9084176205470529,0.9084176205470529,0.9084176205470529,0.9084176205470529,0.9084176205470529,0.9084176205470529,0.9084176205470529,0.9084176205470529,0.9084176205470529,0.9818489488936377,0.9818489488936377,0.9818489488936377,0.9818489488936377,0.9818489488936377,0.9818489488936377,0.9818489488936377,0.9818489488936377,0.9818489488936377,0.9818489488936377,1.3361981018898517,1.3361981018898517,1.3361981018898517,1.3361981018898517,1.3361981018898517,1.3361981018898517,1.3361981018898517,1.3361981018898517,1.3361981018898517,1.3361981018898517,3.123522094131448,3.123522094131448,3.123522094131448,3.123522094131448,3.123522094131448,3.123522094131448,3.123522094131448,3.123522094131448,3.123522094131448,3.123522094131448,4.414781211304275,4.414781211304275,4.414781211304275,4.414781211304275,4.414781211304275,4.414781211304275,4.414781211304275,4.414781211304275,4.414781211304275,4.414781211304275,8.87139126964045,8.87139126964045,8.87139126964045,8.87139126964045,8.87139126964045,8.87139126964045,8.87139126964045,8.87139126964045,8.87139126964045,8.87139126964045,14.972505461009145,14.972505461009145,14.972505461009145,14.972505461009145,14.972505461009145,14.972505461009145,14.972505461009145,14.972505461009145,14.972505461009145,14.972505461009145
Cultivo de frutas y nueces,0.2601626016260239,0.2601626016260239,0.2601626016260239,0.2601626016260239,0.2601626016260239,0.2601626016260239,0.2601626016260239,0.2601626016260239,0.2601626016260239,0.2601626016260239,0.21682061405643438,0.21682061405643438,0.21682061405643438,0.21682061405643438,0.21682061405643438,0.21682061405643438,0.21682061405643438,0.21682061405643438,0.21682061405643438,0.21682061405643438,0.49411222787341114,0.49411222787341114,0.49411222787341114,0.49411222787341114,0.49411222787341114,0.49411222787341114,0.49411222787341114,0.49411222787341114,0.49411222787341114,0.49411222787341114,0.46542975792807084,0.46542975792807084,0.46542975792807084,0.46542975792807084,0.46542975792807084,0.46542975792807084,0.46542975792807084,0.46542975792807084,0.46542975792807084,0.46542975792807084,0.9128245973287097,0.9128245973287097,0.9128245973287097,0.9128245973287097,0.9128245973287097,0.9128245973287097,0.9128245973287097,0.9128245973287097,0.9128245973287097,0.9128245973287097,1.6305983324708784,1.6305983324708784,1.6305983324708784,1.6305983324708784,1.6305983324708784,1.6305983324708784,1.6305983324708784,1.6305983324708784,1.6305983324708784,1.6305983324708784,2.1432529651987497,2.1432529651987497,2.1432529651987497,2.1432529651987497,2.1432529651987497,2.1432529651987497,2.1432529651987497,2.1432529651987497,2.1432529651987497,2.1432529651987497,2.9901678409194776,2.9901678409194776,2.9901678409194776,2.9901678409194776,2.9901678409194776,2.9901678409194776,2.9901678409194776,2.9901678409194776,2.9901678409194776,2.9901678409194776,3.8153139083285215,3.8153139083285215,3.8153139083285215,3.8153139083285215,3.8153139083285215,3.8153139083285215,3.8153139083285215,3.8153139083285215,3.8153139083285215,3.8153139083285215,7.067404477240458,7.067404477240458,7.067404477240458,7.067404477240458,7.067404477240458,7.067404477240458,7.067404477240458,7.067404477240458,7.067404477240458,7.067404477240458
Cultivos industriales,0.2605569879010172,0.2605569879010172,0.2605569879010172,0.2605569879010172,0.2605569879010172,0.2605569879010172,0.2605569879010172,0.2605569879010172,0.2605569879010172,0.2605569879010172,0.28110030424386423,0.28110030424386423,0.28110030424386423,0.28110030424386423,0.28110030424386423,0.28110030424386423,0.28110030424386423,0.28110030424386423,0.28110030424386423,0.28110030424386423,0.2594012970582149,0.2594012970582149,0.2594012970582149,0.2594012970582149,0.2594012970582149,0.2594012970582149,0.2594012970582149,0.2594012970582149,0.2594012970582149,0.2594012970582149,0.21493339548170898,0.21493339548170898,0.21493339548170898,0.21493339548170898,0.21493339548170898,0.21493339548170898,0.21493339548170898,0.21493339548170898,0.21493339548170898,0.21493339548170898,0.4030056640108137,0.4030056640108137,0.4030056640108137,0.4030056640108137,0.4030056640108137,0.4030056640108137,0.4030056640108137,0.4030056640108137,0.4030056640108137,0.4030056640108137,0.2616660441878027,0.2616660441878027,0.2616660441878027,0.2616660441878027,0.2616660441878027,0.2616660441878027,0.2616660441878027,0.2616660441878027,0.2616660441878027,0.2616660441878027,0.468580203843616,0.468580203843616,0.468580203843616,0.468580203843616,0.468580203843616,0.468580203843616,0.468580203843616,0.468580203843616,0.468580203843616,0.468580203843616,0.9267085375907813,0.9267085375907813,0.9267085375907813,0.9267085375907813,0.9267085375907813,0.9267085375907813,0.9267085375907813,0.9267085375907813,0.9267085375907813,0.9267085375907813,0.6464257292157827,0.6464257292157827,0.6464257292157827,0.6464257292157827,0.6464257292157827,0.6464257292157827,0.6464257292157827,0.6464257292157827,0.6464257292157827,0.6464257292157827,1.0837142598402627,1.0837142598402627,1.0837142598402627,1.0837142598402627,1.0837142598402627,1.0837142598402627,1.0837142598402627,1.0837142598402627,1.0837142598402627,1.0837142598402627
Producción de semillas,0.2605867895423941,0.2605867895423941,0.2605867895423941,0.2605867895423941,0.2605867895423941,0.2605867895423941,0.2605867895423941,0.2605867895423941,0.2605867895423941,0.2605867895423941,0.2982519505972503,0.2982519505972503,0.2982519505972503,0.2982519505972503,0.2982519505972503,0.2982519505972503,0.2982519505972503,0.2982519505972503,0.2982519505972503,0.2982519505972503,0.22954394728467165,0.22954394728467165,0.22954394728467165,0.22954394728467165,0.22954394728467165,0.22954394728467165,0.22954394728467165,0.22954394728467165,0.22954394728467165,0.22954394728467165,0.4058361059003257,0.4058361059003257,0.4058361059003257,0.4058361059003257,0.4058361059003257,0.4058361059003257,0.4058361059003257,0.4058361059003257,0.4058361059003257,0.4058361059003257,0.6220814580713663,0.6220814580713663,0.6220814580713663,0.6220814580713663,0.6220814580713663,0.6220814580713663,0.6220814580713663,0.6220814580713663,0.6220814580713663,0.6220814580713663,0.4373820661098593,0.4373820661098593,0.4373820661098593,0.4373820661098593,0.4373820661098593,0.4373820661098593,0.4373820661098593,0.4373820661098593,0.4373820661098593,0.4373820661098593,1.2066839962592946,1.2066839962592946,1.2066839962592946,1.2066839962592946,1.2066839962592946,1.2066839962592946,1.2066839962592946,1.2066839962592946,1.2066839962592946,1.2066839962592946,1.9458021567978712,1.9458021567978712,1.9458021567978712,1.9458021567978712,1.9458021567978712,1.9458021567978712,1.9458021567978712,1.9458021567978712,1.9458021567978712,1.9458021567978712,2.970485355822894,2.970485355822894,2.970485355822894,2.970485355822894,2.970485355822894,2.970485355822894,2.970485355822894,2.970485355822894,2.970485355822894,2.970485355822894,5.201734167570282,5.201734167570282,5.201734167570282,5.201734167570282,5.201734167570282,5.201734167570282,5.201734167570282,5.201734167570282,5.201734167570282,5.201734167570282
"Cría de ganado y producción de leche, lana y pelos",0.2632828455080505,0.2632828455080505,0.2632828455080505,0.2632828455080505,0.2632828455080505,0.2632828455080505,0.2632828455080505,0.2632828455080505,0.2632828455080505,0.2632828455080505,0.2460964801808574,0.2460964801808574,0.2460964801808574,0.2460964801808574,0.2460964801808574,0.2460964801808574,0.2460964801808574,0.2460964801808574,0.2460964801808574,0.2460964801808574,0.5440467492648482,0.5440467492648482,0.5440467492648482,0.5440467492648482,0.5440467492648482,0.5440467492648482,0.5440467492648482,0.5440467492648482,0.5440467492648482,0.5440467492648482,0.5618933610290755,0.5618933610290755,0.5618933610290755,0.5618933610290755,0.5618933610290755,0.5618933610290755,0.5618933610290755,0.5618933610290755,0.5618933610290755,0.5618933610290755,1.2954845552774152,1.2954845552774152,1.2954845552774152,1.2954845552774152,1.2954845552774152,1.2954845552774152,1.2954845552774152,1.2954845552774152,1.2954845552774152,1.2954845552774152,1.1937163900897607,1.1937163900897607,1.1937163900897607,1.1937163900897607,1.1937163900897607,1.1937163900897607,1.1937163900897607,1.1937163900897607,1.1937163900897607,1.1937163900897607,2.220972793104714,2.220972793104714,2.220972793104714,2.220972793104714,2.220972793104714,2.220972793104714,2.220972793104714,2.220972793104714,2.220972793104714,2.220972793104714,1.943803561424362,1.943803561424362,1.943803561424362,1.943803561424362,1.943803561424362,1.943803561424362,1.943803561424362,1.943803561424362,1.943803561424362,1.943803561424362,4.120010347951242,4.120010347951242,4.120010347951242,4.120010347951242,4.120010347951242,4.120010347951242,4.120010347951242,4.120010347951242,4.120010347951242,4.120010347951242,11.743703483802204,11.743703483802204,11.743703483802204,11.743703483802204,11.743703483802204,11.743703483802204,11.743703483802204,11.743703483802204,11.743703483802204,11.743703483802204
Producción de granja,0.26444860112702084,0.26444860112702084,0.26444860112702084,0.26444860112702084,0.26444860112702084,0.26444860112702084,0.26444860112702084,0.26444860112702084,0.26444860112702084,0.26444860112702084,0.31478050248394673,0.31478050248394673,0.31478050248394673,0.31478050248394673,0.31478050248394673,0.31478050248394673,0.31478050248394673,0.31478050248394673,0.31478050248394673,0.31478050248394673,0.4742035952385981,0.4742035952385981,0.4742035952385981,0.4742035952385981,0.4742035952385981,0.4742035952385981,0.4742035952385981,0.4742035952385981,0.4742035952385981,0.4742035952385981,0.583821078625002,0.583821078625002,0.583821078625002,0.583821078625002,0.583821078625002,0.583821078625002,0.583821078625002,0.583821078625002,0.583821078625002,0.583821078625002,1.1978026239011674,1.1978026239011674,1.1978026239011674,1.1978026239011674,1.1978026239011674,1.1978026239011674,1.1978026239011674,1.1978026239011674,1.1978026239011674,1.1978026239011674,1.2309865702462064,1.2309865702462064,1.2309865702462064,1.2309865702462064,1.2309865702462064,1.2309865702462064,1.2309865702462064,1.2309865702462064,1.2309865702462064,1.2309865702462064,1.857175110003828,1.857175110003828,1.857175110003828,1.857175110003828,1.857175110003828,1.857175110003828,1.857175110003828,1.857175110003828,1.857175110003828,1.857175110003828,1.993355448674139,1.993355448674139,1.993355448674139,1.993355448674139,1.993355448674139,1.993355448674139,1.993355448674139,1.993355448674139,1.993355448674139,1.993355448674139,4.010924494271917,4.010924494271917,4.010924494271917,4.010924494271917,4.010924494271917,4.010924494271917,4.010924494271917,4.010924494271917,4.010924494271917,4.010924494271917,5.358781459211337,5.358781459211337,5.358781459211337,5.358781459211337,5.358781459211337,5.358781459211337,5.358781459211337,5.358781459211337,5.358781459211337,5.358781459211337
Servicios agropecuarios,0.26017232715096483,0.26017232715096483,0.26017232715096483,0.26017232715096483,0.26017232715096483,0.26017232715096483,0.26017232715096483,0.26017232715096483,0.26017232715096483,0.26017232715096483,0.2887562232043672,0.2887562232043672,0.2887562232043672,0.2887562232043672,0.2887562232043672,0.2887562232043672,0.2887562232043672,0.2887562232043672,0.2887562232043672,0.2887562232043672,0.2282802609253176,0.2282802609253176,0.2282802609253176,0.2282802609253176,0.2282802609253176,0.2282802609253176,0.2282802609253176,0.2282802609253176,0.2282802609253176,0.2282802609253176,0.33451931791559364,0.33451931791559364,0.33451931791559364,0.33451931791559364,0.33451931791559364,0.33451931791559364,0.33451931791559364,0.33451931791559364,0.33451931791559364,0.33451931791559364,0.6112471387412111,0.6112471387412111,0.6112471387412111,0.6112471387412111,0.6112471387412111,0.6112471387412111,0.6112471387412111,0.6112471387412111,0.6112471387412111,0.6112471387412111,0.43710375447365557,0.43710375447365557,0.43710375447365557,0.43710375447365557,0.43710375447365557,0.43710375447365557,0.43710375447365557,0.43710375447365557,0.43710375447365557,0.43710375447365557,1.071155463612028,1.071155463612028,1.071155463612028,1.071155463612028,1.071155463612028,1.071155463612028,1.071155463612028,1.071155463612028,1.071155463612028,1.071155463612028,2.0453179791005915,2.0453179791005915,2.0453179791005915,2.0453179791005915,2.0453179791005915,2.0453179791005915,2.0453179791005915,2.0453179791005915,2.0453179791005915,2.0453179791005915,2.5439911511689672,2.5439911511689672,2.5439911511689672,2.5439911511689672,2.5439911511689672,2.5439911511689672,2.5439911511689672,2.5439911511689672,2.5439911511689672,2.5439911511689672,5.064330589917465,5.064330589917465,5.064330589917465,5.064330589917465,5.064330589917465,5.064330589917465,5.064330589917465,5.064330589917465,5.064330589917465,5.064330589917465
Caza,0.2601626016260239,0.2601626016260239,0.2601626016260239,0.2601626016260239,0.2601626016260239,0.2601626016260239,0.2601626016260239,0.2601626016260239,0.2601626016260239,0.2601626016260239,0.3635541164217715,0.3635541164217715,0.3635541164217715,0.3635541164217715,0.3635541164217715,0.3635541164217715,0.3635541164217715,0.3635541164217715,0.3635541164217715,0.3635541164217715,0.5477360452369684,0.5477360452369684,0.5477360452369684,0.5477360452369684,0.5477360452369684,0.5477360452369684,0.5477360452369684,0.5477360452369684,0.5477360452369684,0.5477360452369684,1.2214237170886877,1.2214237170886877,1.2214237170886877,1.2214237170886877,1.2214237170886877,1.2214237170886877,1.2214237170886877,1.2214237170886877,1.2214237170886877,1.2214237170886877,0.7048728443615593,0.7048728443615593,0.7048728443615593,0.7048728443615593,0.7048728443615593,0.7048728443615593,0.7048728443615593,0.7048728443615593,0.7048728443615593,0.7048728443615593,0.5666832495611507,0.5666832495611507,0.5666832495611507,0.5666832495611507,0.5666832495611507,0.5666832495611507,0.5666832495611507,0.5666832495611507,0.5666832495611507,0.5666832495611507,0.4293881013385459,0.4293881013385459,0.4293881013385459,0.4293881013385459,0.4293881013385459,0.4293881013385459,0.4293881013385459,0.4293881013385459,0.4293881013385459,0.4293881013385459,1.0257710789547403,1.0257710789547403,1.0257710789547403,1.0257710789547403,1.0257710789547403,1.0257710789547403,1.0257710789547403,1.0257710789547403,1.0257710789547403,1.0257710789547403,2.5887161678844306,2.5887161678844306,2.5887161678844306,2.5887161678844306,2.5887161678844306,2.5887161678844306,2.5887161678844306,2.5887161678844306,2.5887161678844306,2.5887161678844306,4.239661427449937,4.239661427449937,4.239661427449937,4.239661427449937,4.239661427449937,4.239661427449937,4.239661427449937,4.239661427449937,4.239661427449937,4.239661427449937
Silvicultura y extracción de madera,0.26515757918428307,0.26515757918428307,0.26515757918428307,0.26515757918428307,0.26515757918428307,0.26515757918428307,0.26515757918428307,0.26515757918428307,0.26515757918428307,0.26515757918428307,0.21312148353151983,0.21312148353151983,0.21312148353151983,0.21312148353151983,0.21312148353151983,0.21312148353151983,0.21312148353151983,0.21312148353151983,0.21312148353151983,0.21312148353151983,0.35606899671369874,0.35606899671369874,0.35606899671369874,0.35606899671369874,0.35606899671369874,0.35606899671369874,0.35606899671369874,0.35606899671369874,0.35606899671369874,0.35606899671369874,0.6248251878934408,0.6248251878934408,0.6248251878934408,0.6248251878934408,0.6248251878934408,0.6248251878934408,0.6248251878934408,0.6248251878934408,0.6248251878934408,0.6248251878934408,1.5285898651912877,1.5285898651912877,1.5285898651912877,1.5285898651912877,1.5285898651912877,1.5285898651912877,1.5285898651912877,1.5285898651912877,1.5285898651912877,1.5285898651912877,1.6366380323385554,1.6366380323385554,1.6366380323385554,1.6366380323385554,1.6366380323385554,1.6366380323385554,1.6366380323385554,1.6366380323385554,1.6366380323385554,1.6366380323385554,2.241206708619514,2.241206708619514,2.241206708619514,2.241206708619514,2.241206708619514,2.241206708619514,2.241206708619514,2.241206708619514,2.241206708619514,2.241206708619514,5.2864935077168385,5.2864935077168385,5.2864935077168385,5.2864935077168385,5.2864935077168385,5.2864935077168385,5.2864935077168385,5.2864935077168385,5.2864935077168385,5.2864935077168385,7.665871490308818,7.665871490308818,7.665871490308818,7.665871490308818,7.665871490308818,7.665871490308818,7.665871490308818,7.665871490308818,7.665871490308818,7.665871490308818,15.97720962464968,15.97720962464968,15.97720962464968,15.97720962464968,15.97720962464968,15.97720962464968,15.97720962464968,15.97720962464968,15.97720962464968,15.97720962464968
