,"Cultivo de cereales, oleaginosas y forrajeras","Cultivo de hortalizas, legumbres, flores y plantas ornamentales",Cultivo de frutas y nueces,Cultivos industriales,Producción de semillas,"Cría de ganado y producción de leche, lana y pelos",Producción de granja,Servicios agropecuarios,Caza,Silvicultura y extracción de madera,Pesca,"Extracción de petróleo, gas, carbón y uranio",Extracción de minerales metalíferos,Extracción de otros minerales,"Matanza de animales, conservación y procesamiento de carnes",Elaboración y conservación de pescado y productos de pescado,"Elaboración y conservación de frutas, legumbres y hortalizas",Aceites y subproductos oleaginosos,Productos lácteos,Molienda de trigo y de otros cereales,Alimentos balanceados,Productos de panadería,Azúcar,"Cacao, chocolate y productos de confitería",Pastas alimenticias,Otros productos alimenticios,Bebidas alcohólicas,Producción vitivinícola,Cerveza y malta,"Gaseosas, agua mineral y otras bebidas no alcohólicas",Productos de tabaco,"Fibras, hilados y tejeduría de productos textiles",Acabado de productos textiles,Fabricación de productos textiles,Tejidos de punto,"Prendas de vestir, terminación y teñido de pieles",Curtido y terminación de cueros,Marroquinería y talabartería,Calzado y sus partes,Aserraderos,Madera y sus productos,Celulosa y papel,Papel y cartón ondulado y envases de papel y cartón,Productos de papel y cartón,"Edición de libros, folletos, grabaciones y otras ediciones",Edición de periódicos y revistas,Impresiones y reproducción de grabaciones,Refinación de petróleo,Química básica,Fertilizantes y plaguicidas,Materias primas plásticas y caucho sintético,Pinturas y barnices,Productos medicinales,"Jabones, detergentes y cosméticos",Otros productos químicos,Fibras sintéticas manufacturadas,"Cubiertas, cámaras y recauchutado de cubiertas",Productos de caucho,Productos de plástico,Vidrio y productos de vidrio,Productos de cerámica refractaria y no refractaria para uso no estructural,Arcilla y cerámica no refractaria para uso estructural,"Cemento, cal y yeso","Artículos de hormigón, cemento y yeso",Industrias básicas de hierro y acero,Metalurgia de no ferrosos,Fundición de metales,"Estructuras metálicas, tanques, depósitos y generadores de vapor","Forja, laminado y tratamiento de metales",Artículos de cuchillería y ferretería y herramientas de mano,Otros productos metálicos,"Motores, turbinas, bombas y compresores","Engranajes, hornos, elevadores y otras maquinarias de uso general",Tractores y maquinaria agrícola,Otra maquinaria de uso especial,Aparatos de uso doméstico,Máquinas de oficina e informática,"Motores, generadores y transformadores eléctricos",Aparatos de control y distribución de energía eléctrica,Hilos y cables aislados,Acumuladores y pilas,Lámparas eléctricas y equipos de iluminación,"Tubos y transmisores de radio, TV y telefonía",Receptores de radio y TV,"Instrumentos médicos, ópticos y de precisión y relojes",Vehículos automotores,Carrocerías y remolques,Autopartes,"Buques, locomotoras y aeronaves","Motocicletas, bicicletas y otros tipos de transportes",Muebles y colchones,Otras industrias manufactureras,Electricidad,Gas,Agua,Construcción,Comercio mayorista,Comercio minorista,Hoteles,Restaurantes,Transporte terrestre de pasajeros,Transporte terrestre de carga,Transporte por tuberías,Transporte marítimo,Transporte aéreo,Actividades de transporte complementarias,Correos,Telecomunicaciones,Instituciones Financieras,Seguros,Servicios a las empresas y profesionales,Actividades inmobiliarias,Administración pública y defensa y planes de la seguridad social de afiliación obligatoria,Enseñanza privada,Salud humana privada,Servicios veterinarios,Servicios de saneamiento,Actividad de asociaciones,"Servicios de cine, radio y televisión","Servicios personales, de reparación, actividades deportivas y de esparcimiento"
"Cultivo de cereales, oleaginosas y forrajeras",0.010318824923987266,0.0,0.021803959004014196,0.005830520240256847,0.0,0.152143678913196,0.05818206759293857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00032356185945660104,0.0,0.0,6.249196485098621,0.0023525484429505468,0.8187806674409817,0.4468764004885952,0.0033890210244211833,0.0,0.2620664337268836,0.06579966191573551,0.011950478892770311,0.0,0.0,0.15238424233938336,0.00098520222759185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00045547330647382236,0.0,0.0,0.00010773853094882517,0.0025416938817504455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003149309760403728,0.0006985667919820413,0.00012282571957112178,0.002589068515140034,0.0,0.0,7.665286907358054e-09,0.0036675181918649235
"Cultivo de hortalizas, legumbres, flores y plantas ornamentales",0.0,0.1672262695202158,0.013082380309380668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0556423821414868e-06,0.0,0.0,0.0,0.0008828274822444576,0.0,0.7087412777940681,0.030019819015211533,0.00018967733595665905,0.00046545051696265065,0.0,0.007301214582142667,0.00046601632106497715,0.004443954279429793,0.09589364972324743,0.03415098828350844,0.00033782698994802807,0.0,0.0,5.078346332400652e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001640081201374623,0.0,0.0004498162851757737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000174159729481544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006029302002157387,0.1437890959185019,0.0,9.921772541144709e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0534242442480439e-06,0.0,0.0017040604036234687,0.010120549211452348,0.002513630045624385,0.0,0.0,0.008649398749762626,5.289047966077058e-07,0.008638086750280487
Cultivo de frutas y nueces,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011347029826705398,0.0,0.848389309216834,0.0,0.0021813055245924018,0.0,0.0,0.03973000177379959,0.005359051248820788,0.05110512715604587,0.0,0.0004750911603923681,0.0038844707246739715,0.029928954157790785,0.0,0.00046071329279489935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005172881758812922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004330294151701346,0.10606948733807266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001531766359898967,0.00498157964492894,0.0012172751670802345,0.0,0.0,0.0,4.599172144414833e-08,4.7290489914721664e-07
Cultivos industriales,0.0,0.0,0.0,0.02021229659294464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17011097609794437,0.036334121254055336,0.0,0.0,0.0,0.0,0.4925895714502996,0.0,0.0,0.12813223590393208,0.0,0.5686500736102942,0.013400690040881935,0.0,5.5256242758496565,0.23544445229483552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Producción de semillas,0.09718863233988743,0.021007740039237523,0.05232947216780117,0.0077988538640410485,0.021739631017643722,0.013290838353712819,0.001348967075122602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00037265966250863114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Cría de ganado y producción de leche, lana y pelos",0.0,0.0,0.0,0.0,0.0,0.15991249872119895,0.002192405917364742,0.0,0.0,0.0,0.0,3.725300151518955e-06,0.0,0.0,1.615219626569922,0.009900782644456109,9.333300257427157e-05,0.0,1.7116207304000686,0.0,0.0,0.002220072926913768,0.0,0.0,0.000650559943110423,0.0002131257850675547,0.0,0.0,0.0,0.0,0.0,0.05848757106691087,0.0,0.0,0.0,0.0,0.0,0.030915262513040734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030115906391132083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000333153262620453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019653624133814354,0.0016748822797328048,0.0003929957643210927,0.0006075194572145488,0.0,0.0,8.43181559809386e-08,0.0
Producción de granja,0.0,0.0,0.0,0.0,0.0,9.553535074338388e-05,0.21965747080975964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35431843377818656,0.0,0.0005289805815074128,0.0,0.004805995962937964,0.0,0.0,0.04218132216318275,0.0,0.007436900145031429,0.053564996866966974,0.013995220217819572,0.0,0.0,0.0,0.0,0.0,0.00098851598181729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.524202167703845e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00045522309464048234,0.010771876044343896,0.0,0.0,0.0,0.0,0.0,1.5810902116633924e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.649655134990302e-05,0.0,2.5526027614056675e-06,0.0,0.0,0.0,0.0
Servicios agropecuarios,0.1576465652515794,0.020263016001943166,1.830300611909241e-05,0.041898818031059326,0.036476105376785674,0.009814279562970644,0.0,0.0004984331492547433,0.0,0.0,0.009589130586332607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007052509446958537,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Caza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004723037054609863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024513301616292272,0.02334428599251669,0.007728910401048111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Silvicultura y extracción de madera,0.0,0.0037257009723745717,0.006363852181193284,2.4013778904113886e-07,0.0,3.298631756319685e-07,1.5640579740972737e-07,0.0,0.0,0.2559926143847027,0.0010588905125480759,8.191973945066421e-09,0.0,0.0,0.0,0.0004936363526594925,0.0002485956102401181,0.0,0.0,0.0,2.2433616181600662e-06,0.0,0.0,0.0006960428901243276,0.0,0.0,0.0,0.0,0.0,0.0003787486006435854,0.0,0.0,0.0,0.00015583944046856934,0.0,7.268558108069418e-05,0.0,0.0,0.0,0.13278612678457297,0.05845628253852738,0.05468216863525559,0.0001441903076484779,0.0,0.0,0.0,0.0,0.0,0.00011204399252876179,0.00021513771387060736,5.75361037816398e-05,0.0,0.0010475724017580566,0.0001223901550544792,0.0074175245350774,0.0,0.0,0.0,0.0,0.0,0.0,7.875619506215258e-05,0.0009561626839161005,9.19187694568136e-06,0.0,4.954531445669857e-06,0.0,0.0,0.0,0.0,0.0,7.093680705973592e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003143492601154905,0.00237647372213631,0.0,0.0,0.0,0.00014183237811833145,0.0,0.0,0.0001168966331545541,0.0032980814454857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5429317348462874e-05,6.730192236925462e-06,0.0,0.0,0.0,0.0,3.832643453679028e-08,0.00014316316453067868
